name,role,fact
jagentek,str,is a pro roblox player! Just ask him kindly to stream it one more time!
ashRL12,mod,is a multitasking god! He will ban you on twitch while destroying you on rocket league!
christhebutterz,mod,is not following you. His name still sounds familiar? That’s because he is Twitch’s super moderator!
justawesome0608,mod,"has literally nothing special about himself, other then simply being just awesome!"
likablepaper,mod,is a professional lurker. Try luring her in with some Hi’s!
TWScotting ,mod,"is the biggest mystery of all. Although nobody has ever seen him, the peasants praise his Macarena’s dancing moves!"
itzraggyy,vip,has a daily shout-out in this stream! Just wait and see!
chantellex17,vip,is really smol! Make sure to help her find her way here by typing chansmol!
totaltrash_,vip,comes from the kiwifruit lands! If you are quiet you might see this ancient woman doing crochet!
TRX3,vip,"was a bipedal carnivore with a massive skull balanced by a long, heavy tail!"
kissik7,oth,"lives in the shadows. Many have not seen him ever, but those who did are blessed to live!"